country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Botswana,Africa,Southern Africa,No data,7.29,8.37,8.81,10.35,6.97,8.26,8.53,17.0,-32.66
Lesotho,Africa,Southern Africa,No data,No data,No data,No data,25.59,16.95,20.57,No data,-19.6,-33.76
Namibia,Africa,Southern Africa,10.17,10.77,12.77,14.63,18.16,7.69,13.41,14.73,44.8,-57.65
South Africa,Africa,Southern Africa,No data,No data,23.89,33.98,53.60,36.11,43.45,47.35,98.2,-32.63
Swaziland,Africa,Southern Africa,No data,No data,14.22,13.25,10.62,5.23,7.79,No data,-45.2,-50.75
